name,gender,culture,born,died,titles,aliases,playedBy,tvSeries
Owen Norrey,Male,Northern mountain clans,"","In 299 AC, at the Twins","","","",""
Parmen Crane,Male,"",At Red Lake,"",Ser,Parmen the Purple,"",""
Pate,Male,First Men,"","","",Pate the Plowman,"",""
Patrek Mallister,Male,"","","","","","",""
Paxter Redwyne,Male,"","","","Lord of the Arbor, Grand admiral, Lord Admiral, Master of ships","","",""
Pearse Caron,Male,"","","","Lord of Nightsong, Lord of the Marches","","",""
Perra Frey,Female,"",In 294 AC,"","","","",""
Perra Royce,Female,"",In 221 AC or before,In or between 241 AC and 249 AC,"","","",""
Perriane Frey,Female,"",In or between 241 AC and 248 AC,"","","","",""
Perwyn Frey,Male,"",In or between 270 AC and 278 AC,"",Ser,"","",""
Perwyn Osgrey,Male,"","","",Lord of Coldmoat,Perwyn the Proud,"",""
Peter Plumm,Male,"","","",Ser,"","",""
Petyr Baelish,Male,Valemen,"In 268 AC, at the Fingers","","Master of coin (formerly), Lord Paramount of the Trident, Lord of Harrenhal, Lord Protector of the Vale",Littlefinger,Aidan Gillen,"Season 1, Season 2, Season 3, Season 4, Season 5, Season 6"
Petyr Frey,Male,"","In 281 AC, at Twins","In 300 AC, at Oldstones","",Petyr Pimple,"",""
Philip Foote,Male,"","","","Ser, Lord of Nightsong, Lord of the Marches","","",""
Philip Plumm,Male,"","","",Lord,"","",""
Podrick Payne,Male,"",In 286 AC or 287 AC,"","",Pod,Daniel Portman,"Season 2, Season 3, Season 4, Season 5, Season 6"
Preston Greenfield,Male,Westerman,"","In 299 AC, at King's Landing",Ser,"","",""
Pypar,Male,"","","","","Pyp, Monkey, Mummer's Monkey",Jozef Altin,"Season 1, Season 3, Season 4"
Qarl Kenning,Male,Ironborn,"","","",Queer Qarl Kenning,"",""
Jon Redfort,Male,Valemen,"","",Ser,"","",""
Jon Snow,Male,Northmen,In 283 AC,"",Lord Commander of the Night's Watch,"Lord Snow, Ned Stark's Bastard, The Snow of Winterfell, The Crow-Come-Over, The 998th Lord Commander of the Night's Watch, The Bastard of Winterfell, The Black Bastard of the Wall, Lord Crow",Kit Harington,"Season 1, Season 2, Season 3, Season 4, Season 5, Season 6"
Jon Stark,Male,"","","",King in the North,"","",""
Jon Umber,Male,Northmen,At the Last Hearth,"",Lord of the Last Hearth,"The Greatjon, Greatjon Umber",Clive Mantle,Season 1
Jon Umber,Male,Northmen,"","In 299 AC, at the Twins","","The Smalljon, Smalljon Umber",Dean Jagger,Season 6
Jon Wylde,Male,"","","",Ser,"","",""
Jonelle Cerwyn,Female,Northmen,"In 267 AC, at Cerwyn","",Lady of Cerwyn,"","",""
Jonnel Stark,Male,"","","","Lord of Winterfell, Warden of the North",One-Eye,"",""
Jonos Frey,Male,"",In 291 AC,"","","","",""
Jonos Stark,Male,Northmen,"","","King in the North, Lord of Winterfell","","",""
Jonothor Darry,Male,"","","In 283 AC, at the Trident",Ser,Jon Darry,"",""
Jorah Stark,Male,Northmen,"","","King in the North, Lord of Winterfell","","",""
Jorelle Mormont,Female,Northmen,In or between 278 AC and 289 AC,"","",Jory,"",""
Jory Cassel,Male,Northmen,At Winterfell,"In 298 AC, at King's Landing",Captain of the guard,"",Jamie Sives,Season 1
Joseth Mallister,Male,"","","",Ser,"","",""
Josmyn Peckledon,Male,"",In 284 AC or 285 AC,"","",Peck,"",""
Josua Willum,Male,"","","","","","",""
Jothos Slynt,Male,"","","","","","",""
Joyeuse Erenford,Female,"",In 282 AC or 283 AC,"",Lady of the Crossing,"",Kelly Long,"Season 1, Season 3"
Justin Massey,Male,"","","",Ser,The Smiler,"",""
Jyanna Frey,Female,"","","","","","",""
Karlon Stark,Male,Northmen,"","",Lord of Karl's Hold,"","",""
Karyl Vance,Male,"",At Wayfarer's Rest,"","Ser, Lord of Wayfarer's Rest","","",""
Kevan Lannister,Male,"",In 244 AC,"In 300 AC, at King's Landing","Ser, Master of laws, Lord Regent, Protector of the Realm","",Ian Gelder,"Season 1, Season 2, Season 5, Season 6"
Kirth Vance,Male,"","","","","","",""
Kyle Condon,Male,"","","",Ser,"","",""
Kyle Royce,Male,"","",At King's Landing,"","","",""
Kyra Frey,Female,"",In or between 262 AC and 277 AC,"","","","",""
Laena Velaryon,Female,Valyrian,In 93 AC,"In 120 AC, at Driftmark","","","",""
Laenor Velaryon.,Male,Valyrian,In 94 AC,"In 120 AC, at Spicetown",Ser,"","",""
Lambert Turnberry,Male,"","","",Ser,"","",""
Lancel Lannister,Male,"",In 282 AC,"","Ser, Lord of Darry","",Eugene Simon,"Season 1, Season 2, Season 5"
Lancel V Lannister,Male,"","","",King of the Rock,"","",""
Lann,Male,"",In Age of Heroes,"","",Lann the Clever,"",""
Lanna Lannister,Female,"",In or between 271 AC and 286 AC,"","","","",""
Larence Snow,Male,Northmen,In 286 AC,"","","","",""
Larys Strong,Male,"",In 91 AC or before,"","Lord of Harrenhal, Master of whisperers",Larys Clubfoot,"",""
Leana Frey,Female,"",In 299 AC or 300 AC,"","","","",""
Lenwood Tawney,Male,Ironborn,"","","",Little Lenwood Tawney,"",""
Leo Blackbar,Male,"","","",Ser,"","",""
Leo Lefford,Male,"","","In 299 AC, at Trident",Lord of the Golden Tooth,"","",""
Leo Tyrell,Male,Reach,"","","Lord Paramount of the Mander, Lord of Highgarden, Defender of the Marches, High Marshal of the Reach, Warden of the South",Leo Longthorn,"",""
Leo Tyrell,Male,"","","",Ser,"","",""
Leobald Tallhart,Male,Northmen,At Torrhen's Square,"In 299 AC, at Winterfell",Castellan of Torrhen's Square,"","",""
Leona Tyrell,Female,"","","","","","",""
Leona Woolfield,Female,"","","","","","",""
Leonella Lefford,Female,"","","","","","",""
Leslyn Haigh,Male,"","","",Ser,"","",""
Lester Morrigen,Male,"","","",Lord of Crows Nest,"","",""
Lewyn Martell,Male,Dornish,"","In 283 AC, at the Trident","Prince, Ser","","",""
Lewys Lydden,Male,"","","",Lord of the Deep Den,"","",""
Lewys Piper,Male,Rivermen,"","","",Little Lew,"",""
Leyla Hightower,Female,"","","","","","",""
Leyton Hightower,Male,"","","","Lord of the Hightower, Lord of the Port, Voice of Oldtown, Defender of the Citadel, Beacon of the South",Old Man of Oldtown,"",""
Lia Serry,Female,"","","","","","",""
Liane Vance,Female,"","","","","","",""
Lollys Stokeworth,Female,"",In 265 AC,"",Lady of Stokeworth,Lollys Lackwit,"",""
Lomas Estermont,Male,Stormlands,"","",Ser,"","",""
Loras Tyrell,Male,Reach,"In 282 AC, at Highgarden","","Ser, Lord Commander of the Rainbow Guard","The Knight of Flowers, Knight o' Pansies, Ser Daisy",Finn Jones,"Season 1, Season 2, Season 3, Season 4, Season 5, Season 6"
Lord Ashford,Male,Reach,"","",Lord of Ashford,"","",""
Lord Caswell,Male,"","","","Lord of Bitterbridge, Defender of the Fords","","",""
Lord Staunton,Male,"","","In 129 AC, at Rook's Rest",Lord of Rook's Rest,"","",""
Lorent Caswell,Male,"","","","Lord of Bitterbridge, Defender of the Fords","","",""
Lorent Lorch,Male,"","","",Ser,"","",""
Lorent Marbrand,Male,Westerman,"","In 130 AC, at King's Landing","Ser, Lord Commander of the Queensguard","","",""
Lorent Tyrell,Male,"","","","","","",""
Lorra Royce,Female,"","","",Lady of Winterfell,"","",""
Lothar Frey,Male,Rivermen,"In 265 AC or 266 AC, at Twins","",Steward of the Twins,Lame Lothar,Tom Brooke,Season 3
Lothar Mallery,Male,"","","In 298 AC, at Mummer's Ford",Lord,"","",""
Lothor Brune,Male,"","","",Ser,Lothor Apple-Eater,"",""
Lucamore Strong,Male,"","","",Ser,Lucamore the Lusty,"",""
Lucas Codd,Male,Ironborn,"","","",Left-Hand Lucas,"",""
Lucas Corbray,Male,"","","",Ser,"","",""
Lucas Inchfield,Male,"","","In 211 AC, at the Chequy Water",Ser,Lucas the Longinch,"",""
Lucas Lothston,Male,"","","","Lord of Harrenhal, Hand of the King","","",""
Lucas Roote,Male,"","","In 299 AC, at the Riverlands","","","",""
Lucas Tyrell,Male,"","","","","","",""
Luceon Frey,Male,"",In or between 249 AC and 257 AC,"",Septon,"","",""
Lucias Vypren,Male,"","","",Lord,"","",""
Lucimore Botley,Male,Ironborn,"","","","","",""
Lucion Lannister,Male,"",In or between 270 AC and 285 AC,"",Ser,"","",""
Lucos Chyttering,Male,"",In 283 AC,"",Lord,Little Lucos,"",""
Luthor Tyrell,Male,Reach,At Highgarden,"","Lord Paramount of the Mander, Lord of Highgarden, Defender of the Marches, High Marshal of the Reach, Warden of the South","","",""
Gerald Gower,Male,"","","",Ser,"","",""
Geremy Frey,Male,"",In 263 AC,In or between 289 AC and 299 AC,Ser,"","",""
Gerion Lannister,Male,"",In 255 AC,In circa 291 AC,"",Gery,"",""
Germund Botley,Male,Ironborn,"","",Lord of Lordsport,"","",""
Gerold Grafton,Male,"","","",Lord of Gulltown,"","",""
Gerold Hightower,Male,"","","In 283 AC, at Tower of Joy","Ser, Lord Commander of the Kingsguard",The White Bull,Eddie Eyre,Season 6
Gerold Lannister,Male,Westerman,"",In 244 AC,"Lord of Casterly Rock, Shield of Lannisport, Warden of the West",Gerold the Golden,"",""
Gevin Harlaw,Male,Ironborn,"","In 299 AC, at Winterfell","","","",""
Gilbert Farring,Male,"","","",Ser,"","",""
Gilbert of the Vines,Male,"","","","","","",""
Gilwood Hunter,Male,"",In or between 250 AC and 254 AC,"","Ser, Lord of Longbow Hall",Young Lord Hunter,"",""
Gladden Wylde,Male,"","","In 298 AC, at the Mummer's Ford",Ser,"","",""
Glendon Flowers,Male,"",In 196 AC,"",Ser,"Glendon Ball, The Knight of the Pussywillows, Glendon the Bastard","",""
Godric Borrell,Male,Sistermen,At Sweetsister,"","Lord of Sweetsister, Shield of Sisterton, Master of Breakwater Castle, Keeper of the Night Lamp","","",""
Godry Farring,Male,"","","",Ser,Godry the Giantslayer,"",""
Gormon Peake,Male,"","","In 211 AC, at Whitewalls","Lord of Starpike, Dunstonbury (stripped) and Whitegrove (stripped)",Gormy,"",""
Gormond Drumm,Male,Ironborn,"","","",Gormond the Oldfather,"",""
Gormond Goodbrother,Male,Ironborn,In 282 AC or 283 AC,"","","","",""
Gorold Goodbrother,Male,Ironborn,"","",Lord of Hammerhorn,"","",""
Gowen Baratheon,Male,"","","","","","",""
Gran Goodbrother,Male,Ironborn,"","","","","",""
Grance Morrigen,Male,"","","",Ser,"","",""
Grazdan mo Eraz,Male,Ghiscari,At Yunkai,"","","","",""
Grenn,Male,Westeros,In 281 AC or 282 AC,"","",Aurochs,Mark Stanley,"Season 1, Season 2, Season 3, Season 4"
Greydon Goodbrother,Male,Ironborn,"","","","","",""
Gulian Qorgyle,Male,"","","",Ser,"","",""
Gulian Swann,Male,"",In 259 AC or before,"",Lord of Stonehelm,"","",""
Guncer Sunglass,Male,"",At Sweetport Sound,"In 299 AC, at Dragonstone",Lord of Sweetport Sound,"","",""
Gunthor Hightower,Male,"","","",Ser,"","",""
Guthor Grimm,Male,"","","",Lord of Greyshield,"","",""
Guyard Morrigen,Male,"","In or between 278 AC and 283 AC, at Crows Nest","In 299 AC, at King's Landing",Ser,Guyard the Green,"",""
Gwayne Corbray,Male,"","","",Ser,"","",""
Gwayne Gaunt,Male,"","",At Duskendale,Ser,"","",""
Gwayne Hightower,Male,"",In or between 88 AC and 96 AC,"In 130 AC, at King's Landing",Ser,"","",""
Gwin Goodbrother,Female,Ironborn,"","","","","",""
Gwynesse Harlaw,Female,Ironborn,"","","","","",""
Gwyneth Yronwood,Female,Dornish,In 287 AC or 288 AC,"","","","",""
Gylbert Farwynd,Male,Ironborn,"","",Lord of the Lonely Light,"","",""
Gyles,Male,"","","",Ser,Gyles Greycloak,"",""
Gyles Farwynd,Male,Ironborn,"","","","","",""
Gyles Grafton,Male,"","","","","","",""
Gyles III Gardener,Male,"","","",King of the Reach,"","",""
Gyles Rosby,Male,"","","In 300 AC, at King's Landing","Lord of Rosby, Lord Treasurer, Master of Coin",The Cougher,"",""
Gysella Goodbrother,Female,Ironborn,"","","","","",""
Halleck Hoare,Male,"","","",King of the Isles and the Rivers,"","",""
Hallis Mollen,Male,Northmen,"","",Captain of the guards for Winterfell,Hal,"",""
Halmon Paege,Male,"","","",Ser,"","",""
Halys Hornwood,Male,Northmen,"","In 298 AC, at the Green Fork",Lord of the Hornwood,"","",""
Harbert Paege,Male,"","","",Ser,"","",""
Harlan Grandison,Male,"","","In 281 AC, at King's Landing",Ser,"","",""
Harlan Hunter,Male,"","","",Ser,"","",""
Harlen Tyrell,Male,Reach,"","In 5 AC, at Dorne","High Steward of Highgarden, Lord Paramount of the Mander, Lord of Highgarden, Warden of the South",Harlan Tyrell,"",""
Harlon Botley,Male,Ironborn,"","","","","",""
Harlon Greyjoy,Male,Ironborn,"",At Pyke,"","","",""
Harmen Uller,Male,"","","",Lord of Hellholt,"","",""
Harmond Umber,Male,Northmen,"","",Lord of the Last Hearth,The Drunken Giant,"",""
Harrag Hoare,Male,Ironborn,"","",High King of the Iron Isles,"","",""
Harras Harlaw,Male,Ironborn,"","","Ser, Master of Grey Garden, Lord of Greyshield",The Knight of Grey Garden,"",""
Harren Botley,Male,Ironborn,"","In 299 AC, at Moat Cailin","","","",""
Harren Hoare,Male,Ironborn,"","2 BC, at Harrenhal",King of the Isles and the Rivers,"Harren the Black, Black Harren","",""
Harrion Karstark,Male,Northmen,At Karhold,"",Lord of Karhold,Harry,"",""
Harrold Hardyng,Male,Valemen,In 281 AC or 282 AC,"",Ser,"Harry the Heir, The Young Falcon, Harry the Arse","",""
Harrold Osgrey,Male,"","",At the Redgrass Field,Ser,"","",""
Harrold Westerling,Male,Westerman,"",In 112 AC,"Ser, Lord Commander of the Kingsguard","","",""
Harry Strickland,Male,"","","",Captain-General,Homeless Harry Strickland,"",""
Harwin Strong,Male,"",In 90 AC or before,"In 120 AC, at Harrenhal","Ser, Captain","Breakbones, Brokenbones","",""
Harwood Fell,Male,"","","In 300 AC, at Wolfswood",Lord of Felwood,"","",""
Harwood Stout,Male,Northmen,"","",Lord of Goldgrass,"","",""
Harwyn Hoare,Male,"","","","King of the Iron Islands, King of the Isles and the Rivers","Harwyn Hardhand, The Hardhand","",""
Harwyn Plumm,Male,"","","",Ser,Hardstone,"",""
Harys Haigh,Male,"",In or between 254 AC and 282 AC,"",Ser,"","",""
Harys Swyft,Male,"","","","Knight of Cornfield, Hand of the King, Master of coin, Lord treasurer","","",""
Helaena Targaryen,Female,"",In 109 AC,"In 130 AC, at King's Landing",Queen,"","",""
Helicent Uffering,Female,"",In 171 AC (roughly),"","","","",""
Helman Tallhart,Male,Northmen,At Torrhen's Square,"In 299 AC, at Duskendale","Ser, Master of Torrhen's Square","","",""
Herbert Bolling,Male,"","","",Ser,"","",""
Herrock Kenning,Male,Ironborn,"","",Lord of Kayce,Herrock the Whoreson,"",""
Hilmar Drumm,Male,Ironborn,"","","",Hilmar the Cunning,"",""
Hoare,Male,"","","",Lord Commander of the Night's Watch,"","",""
Hoarfrost Umber,Male,Northmen,"","",Lord of the Last Hearth,"","",""
Hobber Redwyne,Male,Reach,At the Arbor,"",Ser,Slobber,"",""
Hooded Man,Male,"",In Age of Heroes,"","","","",""
Horas Redwyne,Male,Reach,At the Arbor,"",Ser,Horror,"",""
Rodrik Harlaw,Male,Ironborn,"","","Lord of Harlaw, Lord of the Ten Towers, The Harlaw of Harlaw, Captain of the Sea Song",The Reader,"",""
Rodrik Ryswell,Male,Northmen,"","",Lord of the Rills,"","",""
Rodrik Stark,Male,Northmen,"","",King in the North,"","",""
Rodrik Stark,Male,Northmen,"","","",The Wandering Wolf,"",""
Rodwell Stark,Male,Northmen,"","","Lord of Winterfell, Warden of the North","","",""
Roelle,Female,"","","",Septa,"","",""
Rohanne,Female,Tyroshi,"",In or after 211 AC,"","","",""
Roland Crakehall,Male,"","","",Ser,"","",""
Roland Crakehall,Male,"","","",Lord of Crakehall,"","",""
Rollam Westerling,Male,"","In 290 AC, at Crag","","","","",""
Rolland Darklyn,Male,"","","",Ser,"","",""
Rolland Storm,Male,"","","","Ser, Castellan of Dragonstone, Lord of Nightsong (claimant)",The Bastard of Nightsong,"",""
Rolland Uffering,Male,"","","",Ser,"","",""
Rolph Spicer,Male,"","","","Ser, Castellan of the Crag, Lord of Castamere","","",""
Ronald Connington,Male,"","","",Ser the Knight of Griffin's Roost,"","",""
Ronald Vance,Male,"","","",Ser,Ronald the Bad,"",""
Ronnel Harclay,Male,"","","","","","",""
Ronnel Stout,Male,Northmen,"","","","","",""
Ronnet Connington,Male,"",In 274 AC,"",Ser Knight of Griffin's Roost,Red Ronnet,"",""
Roose Bolton,Male,Northmen,"In 260 AC or before, at the Dreadfort","","Lord of the Dreadfort, Warden of the North",The Leech Lord,Michael McElhatton,"Season 2, Season 3, Season 4, Season 5, Season 6"
Roose Ryswell,Male,Northmen,"","","","","",""
Roryn Drumm,Male,Ironborn,"","","",Roryn the Reaver,"",""
Rosamund Lannister,Female,"","","","","","",""
Roslin Frey,Female,Rivermen,In 282 AC or 283 AC,"","","",Alexandra Dowling,Season 3
Rossart,Male,"","","In 283 AC, at King's Landing","Grand Master, Wisdom, Lord Hand of the King","","",""
Royce Coldwater,Male,"","","",Lord of Coldwater Burn,"","",""
Runcel Hightower,Male,"","","",Lord Commander of the Night's Watch,"","",""
Rupert Brax,Male,"","","In 299 AC, at Oxcross",Ser,Rubert Brax,"",""
Rupert Crabb,Male,"","","",Ser,"","",""
Russell Merryweather,Male,"","In 293 AC or 294 AC, at Longtable","","","","",""
Ryam Florent,Male,"","","",Ser,"","",""
Ryam Redwyne,Male,"","","In 105 AC, at King's Landing","Ser, Lord Commander of the Kingsguard, Hand of the King","","",""
Rycherd Crane,Male,"","","",Ser,"","",""
Ryella Frey,Female,"",In 294 AC,"","","","",""
Ryella Royce,Female,"","","","","","",""
Rylene Florent,Female,"","","","","","",""
Ryman Frey,Male,"","In 246 AC, 247 AC or 248 AC","In 300 AC, at near the Twins",Ser,"","",""
Saera Targaryen,Female,Valyrian,In or between 61 AC and 82 AC,"",Princess,"","",""
Sallei Paege,Female,"","","","","","",""
Samwell Spicer,Male,"","","",Ser,"","",""
Samwell Tarly,Male,Andal,"In 283 AC, at Horn Hill","","","Sam, Ser Piggy, Prince Pork-chop, Lady Piggy, Sam the Slayer, Black Sam, Lord of Ham",John Bradley-West,"Season 1, Season 2, Season 3, Season 4, Season 5, Season 6"
Sandor Clegane,Male,"",In 270 AC or 271 AC,In 300 AC (supposedly),"","The Hound, Dog",Rory McCann,"Season 1, Season 2, Season 3, Season 4, Season 6"
Sandor Frey,Male,"",In 287 AC,"","","","",""
Sansa Stark,Female,Northmen,"In 286 AC, at Winterfell","",Princess,"Little bird, Alayne Stone, Jonquil",Sophie Turner,"Season 1, Season 2, Season 3, Season 4, Season 5, Season 6"
Sargon Botley,Male,Ironborn,"","","","","",""
Sarra Frey,Female,"",In 285 AC,"","","","",""
Sarya Whent,Female,"","","",Lady,"","",""
Sawane Botley,Male,Ironborn,"","In 299 AC, at Pyke","Lord of Lordsport, Captain of Swiftfin","","",""
Sebastion Errol,Male,"","","",Lord of Haystack Hall,"","",""
Sebaston Farman,Male,Westerman,"","",Lord of Fair Isle,"","",""
Sefton Staunton,Male,"","","",Septon,"","",""
Selmond Stackspear,Male,"","","",Lord,"","",""
Selwyn Tarth,Male,"",In 245 AC or 246 AC,"",Lord of Evenfall,the Evenstar,"",""
Serala of Myr,Female,Myrish,In Myr,"",Lady of Duskendale,The Lace Serpent,"",""
Serra Frey,Female,"",In 285 AC,"","","","",""
Serwyn,Male,"","","",Ser (in songs and tales),Serwyn of the Mirror Shield,"",""
Shadrich,Male,"","","",Ser,"Shadrich of the Shady Glen, The Mad Mouse","",""
Shaera Targaryen,Female,Valyrian,In 226 AC,In or after 259AC,"Princess, Queen","","",""
Shella Whent,Female,Rivermen,"",In +/- 300 AC,Lady of Harrenhal,"","",""
Shiera Crakehall,Female,"","","","","","",""
Shierle Swyft,Female,"","","","","","",""
Shireen Baratheon,Female,"","In 289 AC, at Dragonstone","",Princess,"",Kerry Ingram,"Season 3, Season 4, Season 5"
Shirei Frey,Female,"",In 292 AC or 293 AC,"","","","",""
Shyra Errol,Female,"","","",Lady of Haystack Hall,"","",""
Sigfry Stonetree,Male,Ironborn,"","","","","",""
Sigfryd Harlaw,Male,Ironborn,"","",Master of Harlaw Hall,Sigfryd Silverhair,"",""
Sigorn,Male,Thenn,At Thenn,"",Magnar of Thenn,"","",""
Simon Leygood,Male,"","","",Ser,"","",""
Simon Staunton,Male,"","","",Ser,"","",""
Simon Toyne,Male,"","","In 281 AC, at the Kingswood","","","",""
Stafford Lannister,Male,Westerman,In or between 246 AC and 253 AC,"In 299 AC, at Oxcross",Ser,Uncle Dolt,"",""
Steffarion Sparr,Male,Ironborn,"","","","","",""
Steffon Baratheon,Male,"","In 246 AC, at Shipbreaker Bay",In 278 AC,"Lord of Storm's End, Lord Paramount of the Stormlands","","",""
Steffon Darklyn,Male,"","","In 129 AC, at Dragonstone","Ser, Lord Commander of the Queensguard","","",""
Steffon Fossoway,Male,"","","",Ser,"","",""
Steffon Frey,Male,"",In or between 263 AC and 280 AC,"","",Steffon the Sweet,"",""
Steffon Hollard,Male,"","","",Ser,"","",""
Steffon Stackspear,Male,"","","",Ser,"","",""
Steffon Swyft,Male,"","","",Ser,"","",""
Steffon Varner,Male,"","","",Lord,"","",""
Stevron Frey,Male,"","In 233 AC or 234 AC, at Twins","In 299 AC, at Oxcross",Ser,"",Colin Carnegie,Season 1
Stonesnake,Male,"",In or between 250 AC and 253 AC,"","","","",""
Sumner Crakehall,Male,"","","",Lord of Crakehall,"","",""
Sybell Spicer,Female,"","","",Lady of the Crag,"","",""
Sybelle Glover,Female,Northmen,"","",Lady of Deepwood Motte,"","",""
Sylva Santagar,Female,Dornish,"In 276 AC or 277 AC, at Spottswood","",Lady of Greenstone,Spotted Sylva,"",""
Sylwa Paege,Female,"","","","","","",""
